%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data.data
1692661687389679908,3785,1692661687389679908,,0.0
1692661687394474506,3786,1692661687394474506,,0.0
1692661687399802684,3787,1692661687399802684,,0.0
1692661687404544591,3788,1692661687404544591,,0.0
1692661687409286260,3789,1692661687409286260,,0.0
1692661687414752006,3790,1692661687414752006,,0.0
1692661687419404506,3791,1692661687419404506,,0.0
1692661687424302101,3792,1692661687424302101,,0.0
1692661687429632425,3793,1692661687429632425,,0.0
1692661687434253931,3794,1692661687434253931,,0.0
1692661687439507961,3795,1692661687439507961,,0.0
1692661687444369316,3796,1692661687444369316,,0.0
1692661687449481248,3797,1692661687449481248,,0.0
1692661687454311609,3798,1692661687454311609,,0.0
1692661687459511518,3799,1692661687459511518,,0.0
1692661687464447021,3800,1692661687464447021,,0.0
1692661687469579935,3801,1692661687469579935,,0.0
1692661687474568605,3802,1692661687474568605,,0.0
1692661687479892015,3803,1692661687479892015,,0.0
1692661687484364986,3804,1692661687484364986,,0.0
1692661687489525318,3805,1692661687489525318,,0.0
1692661687494417667,3806,1692661687494417667,,0.0
1692661687499644994,3807,1692661687499644994,,0.0
1692661687504415035,3808,1692661687504415035,,0.0
1692661687509556293,3809,1692661687509556293,,0.0
1692661687514542102,3810,1692661687514542102,,0.0
1692661687519655704,3811,1692661687519655704,,0.0
1692661687524392127,3812,1692661687524392127,,0.0
1692661687530049085,3813,1692661687530049085,,0.0
1692661687534412622,3814,1692661687534412622,,0.0
1692661687539818763,3815,1692661687539818763,,0.0
1692661687544548273,3816,1692661687544548273,,0.0
1692661687551092147,3817,1692661687551092147,,0.0
1692661687554845809,3818,1692661687554845809,,0.0
1692661687559983968,3819,1692661687559983968,,0.0
1692661687564757823,3820,1692661687564757823,,0.0
1692661687569903135,3821,1692661687569903135,,0.0
1692661687574679851,3822,1692661687574679851,,0.0
1692661687579771995,3823,1692661687579771995,,0.0
1692661687584737300,3824,1692661687584737300,,0.0
1692661687589926481,3825,1692661687589926481,,0.0
1692661687594792366,3826,1692661687594792366,,0.0
1692661687600040674,3827,1692661687600040674,,0.0
1692661687604716539,3828,1692661687604716539,,0.0
1692661687609781742,3829,1692661687609781742,,0.0
