%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data.data
1692649627383057355,656,1692649627383057355,,1064.0
1692649627403691530,657,1692649627403691530,,-289.0
1692649627450023889,658,1692649627450023889,,4298.0
1692649627452697277,659,1692649627452697277,,1063.0
1692649627455271005,660,1692649627455271005,,4299.0
1692649627474511146,661,1692649627474511146,,-287.0
1692649627522030353,662,1692649627522030353,,4298.0
1692649627524751424,663,1692649627524751424,,1604.0
1692649627543755531,664,1692649627543755531,,-289.0
1692649627727049589,665,1692649627727049589,,4298.0
1692649627732307672,667,1692649627732307672,,0.0
1692649627734582424,668,1692649627734582424,,-288.0
1692649627755662918,669,1692649627755662918,,4298.0
1692649627757460117,670,1692649627757460117,,1064.0
1692649627779049634,671,1692649627779049634,,-290.0
1692649627826032638,672,1692649627826032638,,4298.0
1692649627828813076,673,1692649627828813076,,1064.0
1692649627831331491,674,1692649627831331491,,4298.0
1692649627850234270,675,1692649627850234270,,-287.0
1692649627898293495,676,1692649627898293495,,4299.0
1692649627901010990,677,1692649627901010990,,1604.0
1692649627920369386,678,1692649627920369386,,-295.0
1692649627966356277,679,1692649627966356277,,4299.0
1692649627969125986,680,1692649627969125986,,1063.0
1692649627971475124,681,1692649627971475124,,4299.0
1692649627990897417,682,1692649627990897417,,-294.0
1692649628033340692,683,1692649628033340692,,4299.0
1692649628036047458,684,1692649628036047458,,1064.0
1692649628038265705,685,1692649628038265705,,-283.0
1692649628085857629,686,1692649628085857629,,4298.0
1692649628088515996,687,1692649628088515996,,1604.0
1692649628108663558,688,1692649628108663558,,-290.0
1692649628150011539,689,1692649628150011539,,4298.0
1692649628152446508,690,1692649628152446508,,1064.0
1692649628154925584,691,1692649628154925584,,-285.0
1692649628206365585,692,1692649628206365585,,4298.0
1692649628208780288,693,1692649628208780288,,1063.0
1692649628210658550,694,1692649628210658550,,1604.0
1692649628225786924,695,1692649628225786924,,-286.0
1692649628277801752,696,1692649628277801752,,4298.0
1692649628283390283,697,1692649628283390283,,1064.0
1692649628287176132,698,1692649628287176132,,1604.0
1692649628305675268,699,1692649628305675268,,-292.0
1692649628337760448,700,1692649628337760448,,4298.0
1692649628340307235,701,1692649628340307235,,1064.0
1692649628345124244,702,1692649628345124244,,-288.0
1692649628385865688,703,1692649628385865688,,4298.0
1692649628388331174,704,1692649628388331174,,1064.0
1692649628390339612,705,1692649628390339612,,-287.0
1692649628437517642,706,1692649628437517642,,4298.0
1692649628440248489,707,1692649628440248489,,1604.0
1692649628460622549,708,1692649628460622549,,-288.0
1692649628505386590,709,1692649628505386590,,4298.0
1692649628508496999,710,1692649628508496999,,1063.0
1692649628511170148,711,1692649628511170148,,4298.0
1692649628532313823,712,1692649628532313823,,-286.0
1692649628578639984,713,1692649628578639984,,4298.0
1692649628581782579,714,1692649628581782579,,1063.0
1692649628583826541,715,1692649628583826541,,4298.0
1692649628602269172,716,1692649628602269172,,-294.0
1692649628645940542,717,1692649628645940542,,4298.0
