,Torque,Angle,Muscle 0,Muscle 1,Muscle 2,Muscle 3
130,-4.288,0.175,4512.046067108479,4363.756442811578,4994.067993881609,4891.831782551057
131,-4.296000000000001,0.175,4510.78203308617,4362.368219265655,4994.846700780605,4898.191883157482
132,-4.300000000000001,0.175,4509.534387328395,4360.977999826273,4995.606273989308,4904.718451263836
133,-4.311999999999999,0.175,4508.304118725871,4359.585427103061,4996.346477702136,4910.141998416564
134,-4.468,0.175,4507.092208256164,4358.190160718288,4997.067098244267,4913.414245573515
135,-4.464,0.175,4505.899628157178,4356.791877488822,4997.767944076369,4913.90393154476
136,-4.308,0.175,4504.727341103592,4355.390271586469,4998.4488457707475,4911.512111673324
137,-4.311999999999999,0.175,4503.576299386929,4353.985054676602,4999.10965595901,4906.686526300321
138,-4.308,0.175,4502.4474440999875,4352.575956035028,4999.750249251368,4900.333406986784
139,-4.311999999999999,0.175,4501.341704326322,4351.162722643068,5000.370522127762,4893.6439296399385
140,-4.324,0.175,4500.259996335466,4349.745119260875,5000.970392801,4887.867993119531
141,-4.176,0.175,4499.203222784552,4348.322928479022,5001.549801052133,4884.077332197809
142,-4.176,0.175,4498.172271926978,4346.895950748449,5002.108708038352,4882.9615461281255
143,-4.336,0.175,4497.168016828763,4345.464004388852,5002.647096073707,4884.694246209701
144,-4.34,0.175,4496.191314593202,4344.026925575655,5003.164968383014,4888.893448571512
145,-4.344,0.175,4495.243005594441,4342.584568305677,5003.662348829366,4894.683012080791
146,-4.344,0.175,4494.323912720563,4341.13680434167,5004.139281615724,4900.843537304806
147,-4.356,0.175,4493.434840626798,4339.68352313587,5004.595830961117,4906.025047149484
148,-4.208,0.175,4492.576574999425,4338.224631732757,5005.0320807520775,4908.9828565632515
149,-4.212,0.175,4491.749881830971,4336.7600546511885,5005.448134169978,4908.794228974496
150,-4.212,0.175,4490.95550670725,4335.289733746118,5005.844113295012,4905.017323030441
151,-4.212,0.175,4490.1941741067885,4333.813628050114,5006.220158687613,4897.764760781611
152,-4.216,0.175,4489.466586713163,4332.331713594905,5006.576428948168,4887.679856739066
153,-4.220000000000001,0.175,4488.773424740714,4330.843983213216,5006.9131002559025,4875.821231554888
154,-4.376000000000001,0.175,4488.115345274083,4329.350446321166,5007.230365887844,4863.477962138007
155,-4.376000000000001,0.175,4487.492981621978,4327.851128681515,5007.52843571877,4851.949622060416
156,-4.368,0.175,4486.9069426855385,4326.346072148097,5007.807535703063,4842.331371771309
157,-4.356,0.175,4486.35781234162,4324.835334391777,5008.067907339341,4835.342683129322
158,-4.364000000000001,0.175,4485.846148841342,4323.3189886082855,5008.309807118753,4831.22969656141
159,-4.364000000000001,0.175,4485.372484224199,4321.797123208324,5008.5335059577465,4829.757255190135
160,-4.368,0.175,4484.937323748077,4320.26984149034,5008.739288616112,4830.2899451671465
161,-4.368,0.175,4484.54114533554,4318.737261296396,5008.927453101067,4831.945081663659
162,-4.356,0.175,4484.184399036796,4317.199514651586,5009.098310058092,4833.787514980335
163,-4.356000000000001,0.175,4483.867506509812,4315.656747387475,5009.252182149225,4835.028757003943
164,-4.196,0.175,4483.590860518121,4314.109118750101,5009.389403419486,4835.192550122657
165,-4.184,0.175,4483.354824446925,4312.556800993085,5009.510318652099,4834.2156327994
166,-4.34,0.175,4483.159731838169,4310.999978956486,5009.615282713161,4832.464827434831
167,-4.34,0.175,4483.005885945321,4309.438849632071,5009.70465988643,4830.6673718355105
168,-4.327999999999999,0.175,4482.893559308614,4307.873621715743,5009.778823198886,4829.767706043324
169,-4.168,0.175,4482.822993351558,4306.304515147937,5009.83815373775,4830.73770709215
170,-4.156000000000001,0.175,4482.794397999506,4304.731760642831,5009.88303995965,4834.3761064683795
171,-4.304,0.175,4482.807951321065,4303.155599207289,5009.913876992642,4841.134935785615
172,-4.292,0.175,4482.863799193092,4301.5762816504775,5009.9310659318135,4851.005956148831
173,-4.4399999999999995,0.175,4482.962054989993,4299.994068085124,5009.935013129199,4863.489052778916
174,-4.428,0.175,4483.102799297971,4298.409227421374,5009.926129478784,4877.6495490503
175,-4.416,0.175,4483.286079654823,4296.82203685422,5009.904829697344,4892.255081280813
176,-4.4079999999999995,0.175,4483.511910315835,4295.23278134542,5009.871531601935,4905.968073978901
177,-4.248,0.175,4483.780272046267,4293.641753100811,5009.826655384815,4917.559640287016
178,-4.231999999999999,0.175,4484.091111940885,4292.049251043843,5009.770622886637,4926.106769205494
179,-4.224,0.175,4484.444343270953,4290.455580286152,5009.70385686874,4931.137664867327
180,-4.216,0.175,4484.839845359089,4288.861051595915,5009.626780285395,4932.699510050897
181,-4.212,0.175,4485.277463482335,4287.265980864686,5009.539815556886,4931.33699982601
182,-4.212,0.175,4485.75700880381,4285.670688573406,5009.443383844318,4927.986142890495
183,-4.188000000000001,0.175,4486.278258333245,4284.075499258242,5009.3379043270625,4923.803092709131
184,-4.032,0.175,4486.84095491671,4282.480740976907,5009.223793483779,4919.959351413221
185,-4.0200000000000005,0.175,4487.444807255797,4280.886744776103,5009.101464377962,4917.440471878108
186,-4.164,0.175,4488.0894899564755,4279.293844160758,5008.971325948974,4916.884322950951
187,-4.16,0.175,4488.7746436078005,4277.702374565732,5008.833782309565,4918.487296968922
188,-4.148,0.175,4489.499874890605,4276.112672830672,5008.689232050861,4921.993967214585
189,-4.292,0.175,4490.264756716237,4274.525076678736,5008.538067555825,4926.770043215631
190,-4.292,0.175,4491.068828395368,4272.939924199874,5008.380674322214,4931.942937783113
