,0
1408,2.5
1409,2.5
1410,2.5
1411,2.2
1412,2.5
1413,2.4
1414,2.4
1415,2.4
1416,2.5
1417,2.4
1418,2.4
1419,2.4
1420,2.4
1421,2.4
1422,2.4
1423,2.5
1424,2.5
1425,2.5
1426,2.4
1427,2.5
1428,2.2
1429,2.5
1430,2.4
1431,2.4
1432,2.2
1433,2.4
1434,2.2
1435,2.5
1436,2.5
1437,2.4
1438,2.5
1439,2.4
1440,2.4
1441,2.4
1442,2.4
1443,2.4
1444,2.4
1445,2.5
1446,2.5
1447,2.4
1448,2.4
1449,2.4
1450,2.4
1451,2.4
1452,2.2
1453,2.4
1454,2.5
1455,2.5
1456,2.5
1457,2.4
1458,2.4
1459,2.5
1460,2.4
1461,2.4
1462,2.2
1463,2.4
1464,2.5
1465,2.4
1466,2.5
1467,2.4
1468,2.4
1469,2.4
1470,2.5
1471,2.5
1472,2.4
1473,2.4
1474,2.4
1475,2.4
1476,2.5
1477,2.4
1478,2.5
1479,2.5
1480,2.4
1481,2.4
1482,2.4
1483,2.4
1484,2.4
1485,2.4
1486,2.5
1487,2.5
1488,2.4
1489,2.4
1490,2.4
1491,2.4
1492,2.4
1493,2.2
1494,2.4
1495,2.2
1496,2.5
1497,2.4
1498,2.4
1499,2.5
1500,2.4
1501,2.5
1502,2.4
1503,2.4
1504,2.5
1505,2.5
1506,2.5
1507,2.4
1508,2.4
1509,2.5
1510,2.4
1511,2.4
1512,2.4
1513,2.4
1514,2.4
1515,2.4
1516,2.5
1517,2.2
1518,2.4
1519,2.4
1520,2.4
1521,2.5
1522,2.4
1523,2.5
1524,2.4
1525,2.5
1526,2.5
1527,2.4
1528,2.5
1529,2.4
1530,2.4
1531,2.5
1532,2.2
1533,2.4
1534,2.2
1535,2.5
1536,2.5
1537,2.4
1538,2.4
1539,2.4
1540,2.5
1541,2.5
1542,2.4
1543,2.4
1544,2.4
1545,2.4
1546,2.5
1547,2.4
1548,2.4
1549,2.4
1550,2.5
1551,2.4
1552,2.4
1553,2.4
1554,2.4
1555,2.5
1556,2.5
1557,2.4
1558,2.4
1559,2.5
1560,2.4
1561,2.4
1562,2.4
1563,2.5
1564,2.2
1565,2.4
1566,2.4
1567,2.4
1568,2.4
1569,2.2
1570,2.4
1571,2.4
1572,2.5
1573,2.5
1574,2.5
1575,2.5
1576,2.5
1577,2.4
1578,2.5
1579,2.5
1580,2.5
1581,2.5
1582,2.4
1583,2.4
1584,2.4
1585,2.2
1586,2.5
1587,2.4
1588,2.5
1589,2.5
1590,2.5
1591,2.4
1592,2.4
1593,2.5
1594,2.5
1595,2.4
1596,2.5
1597,2.2
1598,2.4
1599,2.4
1600,2.4
1601,2.5
1602,2.4
1603,2.5
1604,2.4
1605,2.4
1606,2.4
1607,2.4
1608,2.4
1609,2.4
1610,2.4
1611,2.4
1612,2.4
1613,2.4
1614,2.4
1615,2.4
1616,2.4
1617,2.4
1618,2.5
1619,2.4
1620,2.5
1621,2.5
1622,2.4
1623,2.4
1624,2.4
1625,2.4
1626,2.2
1627,2.4
1628,2.4
1629,2.4
1630,2.4
1631,2.4
1632,2.4
1633,2.4
1634,2.4
1635,2.4
1636,2.5
1637,2.2
1638,2.4
1639,2.5
1640,2.4
1641,2.5
1642,2.5
1643,2.4
1644,2.4
1645,2.6
1646,2.5
1647,2.4
1648,2.4
1649,2.5
1650,2.5
1651,2.5
1652,2.4
1653,2.4
1654,2.4
1655,2.5
1656,2.5
1657,2.5
1658,2.5
1659,2.5
1660,2.4
1661,2.5
1662,2.4
1663,2.4
1664,2.5
1665,2.4
1666,2.5
1667,2.2
1668,2.4
1669,2.5
1670,2.5
1671,2.5
1672,2.5
1673,2.4
1674,2.4
1675,2.4
1676,2.5
1677,2.4
1678,2.4
1679,2.5
1680,2.5
1681,2.5
1682,2.4
1683,2.4
1684,2.4
1685,2.4
1686,2.4
1687,2.4
1688,2.4
1689,2.4
1690,2.5
1691,2.5
1692,2.4
1693,2.4
1694,2.5
1695,2.5
1696,2.5
1697,2.4
1698,2.4
1699,2.4
1700,2.4
1701,2.5
1702,2.4
1703,2.5
1704,2.5
1705,2.4
1706,2.5
1707,2.4
1708,2.2
1709,2.4
1710,2.4
1711,2.4
1712,2.4
1713,2.4
1714,2.5
1715,2.4
1716,2.5
1717,2.4
1718,2.4
1719,2.4
1720,2.5
1721,2.5
1722,2.4
1723,2.4
1724,2.5
1725,2.4
1726,2.5
1727,2.4
1728,2.5
1729,2.4
1730,2.4
1731,2.4
1732,2.4
1733,2.4
1734,2.4
1735,2.5
1736,2.5
1737,2.4
1738,2.4
1739,2.5
1740,2.4
1741,2.4
1742,2.5
1743,2.5
1744,2.2
1745,2.4
1746,2.5
1747,2.4
1748,2.5
1749,2.2
1750,2.4
1751,2.4
1752,2.4
1753,2.4
1754,2.4
1755,2.5
1756,2.4
1757,2.4
1758,2.4
1759,2.4
1760,2.4
1761,2.5
1762,2.2
1763,2.5
1764,2.4
1765,2.5
1766,2.5
1767,2.4
1768,2.4
1769,2.4
1770,2.5
1771,2.5
1772,2.4
1773,2.4
1774,2.5
1775,2.4
1776,2.5
1777,2.4
1778,2.4
1779,2.4
1780,2.4
1781,2.5
1782,2.4
1783,2.4
1784,2.4
1785,2.4
1786,2.5
1787,2.4
1788,2.4
1789,2.4
1790,2.2
1791,2.5
1792,2.4
1793,2.4
1794,2.5
1795,2.4
1796,2.4
1797,2.4
1798,2.4
1799,2.4
1800,2.5
1801,2.5
1802,2.2
1803,2.4
1804,2.5
1805,2.5
1806,2.4
1807,2.4
1808,2.5
1809,2.4
1810,2.5
1811,2.5
1812,2.4
1813,2.5
1814,2.5
1815,2.5
1816,2.5
1817,2.4
1818,2.4
1819,2.4
1820,2.5
1821,2.5
1822,2.4
1823,2.5
1824,2.4
1825,2.4
1826,2.4
1827,2.4
1828,2.4
1829,2.5
1830,2.4
1831,2.5
1832,2.4
1833,2.4
1834,2.5
1835,2.5
1836,2.5
1837,2.5
1838,2.4
1839,2.4
1840,2.5
1841,2.4
1842,2.4
1843,2.5
1844,2.5
1845,2.4
1846,2.4
1847,2.4
1848,2.5
1849,2.5
1850,2.5
1851,2.5
1852,2.4
1853,2.4
1854,2.5
1855,2.4
1856,2.5
1857,2.4
1858,2.4
1859,2.4
1860,2.4
1861,2.4
1862,2.4
1863,2.4
1864,2.4
1865,2.2
1866,2.5
1867,2.4
1868,2.4
1869,2.4
1870,2.5
1871,2.5
1872,2.2
1873,2.4
1874,2.5
1875,2.5
1876,2.5
1877,2.4
1878,2.4
1879,2.4
1880,2.4
1881,2.4
1882,2.2
1883,2.5
1884,2.4
1885,2.4
1886,2.5
1887,2.4
1888,2.4
1889,2.5
1890,2.5
1891,2.5
1892,2.4
1893,2.4
1894,2.5
1895,2.4
